iso,ldv,twothree,bus,rail
GUF,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
GUM,0.7174136849303673,0.016756652277713186,0.2463774757389564,0.01945218705296303
GUY,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
HKG,0.48965977318212134,0.03645567633324177,0.29445120276262604,0.17943334772201075
HND,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
HRV,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
HTI,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
HUN,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
IDN,0.2662735442972198,0.2804270228961034,0.388056175793688,0.06524325701298886
IND,0.20203791150427122,0.25,0.4746407660153481,0.07332132248038066
